px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95323e-310
8.44647	0.251376	-3.03655	-0.000681892	-2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00601996
8.46671	0.24956	-2.56801	-0.0111917	-0.00201971	8.56759	0.241943	8.45	0.25	0	0	0.990809
8.42224	0.252815	-2.50961	-0.0170158	-0.00261558	8.45582	0.253997	8.45	0.25	0	0	0.100083
8.32866	0.253231	-2.55236	-0.00926679	-0.000402248	8.42544	0.254042	8.35	0.25	-1.81979	0	0.119118
8.22693	0.251078	-2.53719	0.00395207	0.00297556	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0117441
7.98504	0.226764	-3.58009	0.0736883	0.0519082	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	6.35079
7.82867	0.179077	-3.56917	0.147704	0.0951371	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0568853
7.66494	0.146506	-3.52954	0.172149	0.132551	7.61269	0.155818	7.7	0.15	-2.99982	0	0.0911382
7.50715	0.14008	-3.50958	0.14396	0.0919146	7.54016	0.159641	7.55	0.15	-2.99982	0	0.0994852
7.42659	0.0357257	-3.09086	0.349415	0.691276	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	13.871
7.28589	0.00380137	-3.06148	0.351004	0.62932	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.25612
7.13232	-0.0332765	-3.05589	0.345585	0.530587	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.129837
6.99257	-0.0769968	-3.02937	0.359164	0.504641	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.246912
6.89751	-0.236754	-2.96959	0.676648	1.32532	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	7.00225
6.78784	-0.313206	-2.93469	0.719092	1.27482	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.403108
6.6748	-0.388639	-2.92243	0.73814	1.17638	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.109698
6.58321	-0.483367	-2.905	0.797568	1.18228	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.218567
6.54129	-0.64841	-2.92201	1.04132	1.60096	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.11802
6.48694	-0.750255	-2.88461	1.11135	1.5984	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.840884
6.44119	-0.907967	-2.89765	1.25235	1.71023	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.586942
6.40906	-1.05963	-2.88942	1.35216	1.72008	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.131716
6.29504	-1.14227	-2.78825	1.23125	1.32609	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	12.3001
6.25066	-1.28195	-2.78106	1.30326	1.32754	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0550735
6.33165	-1.48803	-2.85206	1.58923	1.69137	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	19.3116
6.34556	-1.64574	-2.85245	1.68492	1.69416	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.0229122
6.28022	-1.74306	-2.74776	1.60973	1.43122	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	17.5661
6.28124	-1.89076	-2.76206	1.67567	1.42127	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.2573
6.32537	-2.04335	-2.79722	1.78894	1.487	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	1.90303
6.35667	-2.18706	-2.80722	1.86034	1.4814	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.142839
6.34914	-2.3213	-2.74713	1.8593	1.35368	6.32593	-2.40018	6.35	-2.4	0	-2.72613	8.80092
6.38574	-2.47804	-2.76204	1.92427	1.34058	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.364807
6.43375	-2.62441	-2.76295	1.98646	1.32328	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.306437
6.48405	-2.77517	-2.77622	2.04591	1.30713	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.398392
6.50399	-2.8952	-2.72529	2.05295	1.22005	6.46536	-3.00452	6.45	-3	0	-2.99754	7.12498
6.54064	-3.03934	-2.74482	2.08803	1.19018	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.23749
6.60166	-3.17979	-2.74611	2.13487	1.1658	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.767018
6.65191	-3.33494	-2.76548	2.16784	1.13102	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.50094
6.73761	-3.47289	-2.78856	2.22794	1.13248	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.946885
6.81169	-3.62217	-2.80825	2.26487	1.10331	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.13304
6.88625	-3.74774	-2.784	2.29631	1.06331	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.72537
6.95396	-3.90185	-2.80378	2.31562	1.01981	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.92823
7.02774	-4.0243	-2.77566	2.33937	0.978215	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	3.15974
7.08564	-4.18285	-2.79104	2.34122	0.922097	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.76024
7.14559	-4.29573	-2.72052	2.34665	0.860076	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	11.9767
7.20172	-4.44292	-2.72451	2.34568	0.809286	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	2.22814
7.27797	-4.55801	-2.69494	2.36269	0.774944	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	2.6377
7.32584	-4.7164	-2.70032	2.34542	0.711683	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	3.18637
7.43077	-4.84404	-2.73523	2.37727	0.708203	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.57771
7.48067	-5.00535	-2.7394	2.35405	0.642739	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	3.23332
7.55921	-5.12396	-2.71877	2.36382	0.613223	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.89479
7.6081	-5.29065	-2.72455	2.3336	0.545757	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.20395
7.69763	-5.41227	-2.71928	2.34601	0.525508	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.82759
7.76083	-5.56122	-2.72157	2.32969	0.47814	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.53827
7.8388	-5.67737	-2.69941	2.33454	0.453105	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.53961
7.888	-5.83578	-2.69976	2.30336	0.394672	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.31873
8.0003	-5.95358	-2.76471	2.3354	0.417826	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.4919
8.05489	-6.10338	-2.77248	2.30742	0.366721	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.79655
8.14745	-6.22626	-2.76527	2.31389	0.350269	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.95147
8.22333	-6.36946	-2.76962	2.30155	0.31733	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.697956
8.30467	-6.48706	-2.75124	2.30293	0.298599	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.03786
